ID,Jokes / Bits / Puns / One-liners,Rating,Split,Source,Type
1,"How was the wedding? Sorry, I missed it. I'm sorry, I wanted to be there but I realized it's 6,000 miles away and I don't know you.",1,Few-shot,Conan Surprises Japanese Fans,Improv
2,El vuelo de Los Ángeles a la Ciudad de México solo tarda tres horas y media. Pero el taxi del aeropuerto a mi hotel tardó dos días.,1,Few-shot,Conan Tries Out His Spanish-Language Jokes,Improv
3,"I don't even like going to Chinese restaurants with some of my friends anymore. Cause this is what they do to me everytime. They like, ""Jimmy, you speak Chinese? You speak Chinese?! Yeah? Yeah? Order in Chinese bro! They gonna hook it up! Order in Chinese! Bro! Order in Chinese, bro."" I'm like, ""Bro...we're at Panda Express.""",1,Few-shot,Jimmy Doesn't Go To Chinese Restaurants Anymore.,Stand-up
4,"Who doesn't want to help a child? Let's save five children...One, two, three, four, five. Not so fast. Just five.",1,Few-shot,Key & Peele: Do you have a moment to save the children?,Sketch
5,Marriage is a wonderful journey. 50% end in divorce.,1,Few-shot,Key & Peele: Saddest sibling rivalry of all time,Sketch
6,"Mecca and Medina are basically the Muslim Infinity Stones of holiness. At least once in our lives, we have to go to Mecca to make pilgrimage aka Hajj. It's like Coachella, except you can't get annoyed when people say they had a really religious experience.",1,Few-shot,Saudi Arabia | Patriot Act with Hasan Minhaj | Netflix,Observational
7,Nothing triples that fast...except the number of songs Kanye writes about Jesus.,1,Few-shot,Why Billionaires Won’t Save Us | Patriot Act with Hasan Minhaj | Netflix,Observational
8,"A student in Texas who is nicknamed ""White Lightning"" set a high school record by running the hundred-meter dash in 9.98 seconds. Coincidentally, people call me ""White Lightning"" because I also finish in under ten seconds.",1,Few-shot,Weekend Update: Colin Jost and Michael Che Switch Jokes - SNL,Blue comedy
9,"Please, don't call me sir. Call me ma'am.",1,Few-shot,Conan Joins The Explosive Ordnance Disposal Division | CONAN on TBS,Wits
10,Can I say you're the best-dressed soldier I have ever seen in my life? You're like a Janet Jackson backup dancer. It's incredible. He looks amazing.,1,Few-shot,Conan Stars In North Korea’s First Late Night Talk Show | CONAN on TBS,Improv
11,California is bone dry! It looked like a trailer for the new Mad Max movie up in there! Y'all think that Bradley Cooper came here because he wants to talk to Chuck Todd? He needed a glass of water!,1,Few-shot,CLIP: President Obama's Anger Translator (C-SPAN),Sketch
12,"And who are you, my little friend? Not a spoon...not a fork...but something in between. A ""fpoon.""",1,Few-shot,Key & Peele - Continental Breakfast,Sketch
13,I wish I was high on pot-enuse.,1,Few-shot,The Funniest Kid in School (feat. Gabriel Iglesias) - Key & Peele,Sketch
14,"I love listening to hip-hop music but what happened to hip-hop, man? Is it just me or [are] all rappers getting uglier? You know what I'm sayin'? Back in the day, we had good lookin' people like LL Cool J, Tupac, stars, you know? Now we got Lil Wayne. Lil Wayne looks like a gremlin that got raped by a tattoo gun.",1,Few-shot,How to start beef with Lil Wayne - Jimmy O. Yang,Stand-up
15,"People love to brag about how much money they spend. Asian people on the other hand? We do the exact opposite. We love to brag about how little money we spent on some s—. Because the art is in the savings. You never pay full price! Like my mom: her catchphrase is, ""Guess how much?""",1,Few-shot,How Asians Brag About Money - Jimmy O. Yang,Stand-up
16,"How did us teaching Diana to drive turn into I'm a male prostitute, you're going to put me out, and you're going to come back in an hour, and you want your trap full?",1,Few-shot,"Ice Cube, Kevin Hart And Conan Help A Student Driver | CONAN on TBS",Improv
17,Only have sex with someone if they are definitely into it. That would kill my sex life with my wife.,1,Few-shot,Conan & Nick Kroll Teach A Sex Ed Class | CONAN on TBS,Improv
18,I find you TDS.,1,Few-shot,Conan Forces Jordan Schlansky To Clean His Filthy Office | CONAN on TBS,Improv
19,"You could not hide a coffee machine better. If Osama Bin Laden was cringing near this coffee machine, he'd be alive today because no one would ever have found him.",1,Few-shot,Conan Busts Jordan Schlansky & His Elitist Espresso Machine | CONAN on TBS,Improv
20,"Body ten, face ten. That's my weakness.",1,Few-shot,Wendell May Not Really Be Addicted to Sex - Key & Peele,Sketch
21,"Hey, I am Conan O'Brien and I'm honored to be the last human host of the Academy Awards. Yes! Yeah! Next year, it's going to be a Waymo in a tux.",1,Few-shot,Oscars 2026: Conan O'Brien's opening monologue,Observational
22,"I'm pretty sure it was Diddy that posted a picture of himself...but he was on a bike, and he was just riding his bike, and then 50 Cent commented, ""You know he's smiling cause there's no seat on that bike.""",1,Few-shot,Diddy’s Collapse - Untouchable To Indicted,Stand-up
23,"Multiple women have posted videos on TikTok claiming that while walking the streets of New York they were randomly punched by men. Well, then damn, get the hell out of my way, b—h. And speaking of b—hes, I want to call up the biggest b—h of all, Kendrick Lamar. Or should I say the littlest? Your war with Drake may be over, but your war with Michael Che is just beginning. So to quote Hamilton, ""shoot your shot, player.""",1,Few-shot,Weekend Update: Colin Jost and Michael Che Swap Jokes for Season 49 Finale - SNL,Insult
24,"Wait, there's a girl named Ciri? Is she the same one that tells you information on the iPhone? Are we sure there's not a tie-in? It's very suspicious to me that the Witcher befriends someone who happens to be the voice of the iPhone. And he does it with his pet crow Google.",1,Few-shot,"Clueless Gamer: Conan Reviews ""The Witcher 3: Wild Hunt"" | CONAN on TBS",Improv
25,Why do you have athletic soles on your wingtips?,1,Few-shot,Bill Burr Roasts Conan's Shoes,Insult
26,"For China's 1.4 billion citizens and 800 million Internet users, censorship is just part of life. China is so good at censorship, they gave themselves five stars.",1,Few-shot,Saudi Arabia + Censorship In China | Patriot Act with Hasan Minhaj | Netflix,Observational
27,"If you want to shine like the sun, first you have to burn like it. Wow, I actually love that last quote. Did you just come up with that?
No, it’s a famous Hitler quote, Colin. And it’s your new quote too.",1,Few-shot,Weekend Update Guru Genesis Fry on Mental Health - SNL,Improv
28,You lied about your mom dying in 911. I think I said 7 Eleven.,1,Few-shot,Weekend Update: Colin Jost Interviews Rep. George Santos - SNL,Improv
29,"Good morning and congratulations to the Dartmouth class of 2011. Today, you have achieved something special. Something only 92% of Americans your age will ever know: a college diploma. That's right. With your college diploma, you now have a crushing advantage over 8% of the workforce. I'm talking about dropout losers like Bill Gates, Steve Jobs, and Mark Zuckerberg.",1,Few-shot,Conan O'Brien's 2011 Dartmouth College Commencement Address | CONAN on TBS,Observational
30,"Any of you guys speak Cantonese here? A couple of you guys. I was born in Hong Kong. That's my first language. I love that language, right? I think it's the most fun language to speak because it's the most fun language to cuss in. In Cantonese, you can just, like, low key casually cuss. Like, you go to Chinatown, you see, like, a nice old man walk by. He would just be like, ""diu lei lo mo ham ga chan."" Right, that sounds really nice, right? But what he actually said was like, ""Oh, f— your mother. I hope your whole family dies."" That's Cantonese, man.",1,Few-shot,Why Jimmy O. Yang Loves Cantonese,Observational
31,"I could not have a son who is 35, and also I'm worried my fake son is gonna run away with my fake wife.",1,Few-shot,"
Conan Rents A Family In Japan | CONAN on TBS",Observational
32,Kick me out of a strip club; I come back with a missile-firing chopper.,1,Few-shot,"Conan O'Brien Reviews ""Grand Theft Auto V"" | Clueless Gamer | CONAN on TBS",Improv
33,"As response to Conan being an American, Conan Town's mayor had a demand of his own. ""I want you to bring...15000 American Burgers.""",1,Few-shot,Conan Visits Conan Town In Japan | CONAN on TBS,Observational
34,"It's Halloween. my mom made us these extravagant amazing uh costumes where it was like this felt dragon.  I remember we were at my cousin's house in Michigan and I fell asleep right before they all left and nobody woke me up. I passed out cuz I'm a tired kid. I wake up to the noise of my aunt washing the dishes while clank like the clinking of of of dishes. It's it's seared into my brain. I wake up and I'm like, ""What's going on? Where did everybody go?"" They all went trick-or-treating. It had been 2 hours. And so I imagine me, I'm in a dragon costume. I went on a rampage and broke things at my aunt's house  knocking over her vases and stuff. It doesn't help that I'm Asian. So that joke really flies to the Godzilla bit.",1,Few-shot,Steven Yeun’s Traumatic Childhood Halloween | CONAN on TBS,Improv
35,"But well, by the way, I know that I look Asian but that’s because my maiden name is Chao as in Fogo de Chao. Because I’m Brazilian.",1,Few-shot,Weekend Update: Colin Jost Interviews Rep. George Santos - SNL,Improv
36,This is one of the consequences of having unprotected sex [which] is you get a baby filled with sand.,1,Few-shot,Conan & Nick Kroll Teach A Sex Ed Class | CONAN on TBS,Improv
37,"A new study shows the average American touches their mobile device more than 2,000 times a day. ""Only 2,000 times,"" said my penis.",1,Few-shot,Weekend Update: Colin Jost and Michael Che Swap Jokes - SNL,Blue comedy
38,"No, for real, for real, though. Mr. President, thank you for being here. Thank you for having me here. You know, I was a little confused about why me, but then I was told that you get your highest approval ratings when a biracial African guy is standing next to you.",1,Few-shot,Trevor Noah COMPLETE REMARKS at 2022 White House Correspondents' Dinner (C-SPAN),Observational
39,"""Gucci Gang"" is just two minutes and four seconds long. That's it, 124 seconds. 124 seconds into a Kendrick song, he's still reading a haiku about the water crisis in Flint.",1,Few-shot,Hip Hop And Streaming | Patriot Act with Hasan Minhaj | Netflix,"Observational
"
40,"Well, I guess it's no surprise that Donald Trump isn't impressed by LeBron James seeing as King James has three rings and Trump achieved that two divorces ago.",1,Few-shot,UNCUT: The Nicki Minaj Interview With Stephen Colbert,Observational
41,I thought I could kill you very quickly by hitting you with tha big cooking pot. Would you please get it over with? I did not find any bullets.,1,Few-shot,Key & Peele - Killing an African Warlord,Sketch
42,"Marty did not want to be cremated. Too late. But I’ll always be haunted by Marty’s last words, “Tesla Autopilot engage.”",1,Few-shot,Steve Martin and Martin Short Monologue - SNL,Sketch
43,"Santa love children. There are 2 billion of them. And they all want a fortnight battle passes, whatever the hell it is.",1,Few-shot,A Visit with Santa - SNL,Sketch
44,"Look, I made a lot of mistakes in my life. Maybe I can't read or write or math. I'm still a person. I put on my pants one sleeve at a time just like everybody else.",1,Few-shot,R. Kelly Interview Cold Open - SNL,Sketch
45,"Jada, I love you. G.I. Jane 2, can't wait to see it.",1,Few-shot,Chris Rock at the Oscars,Insult
46,[name a type of cloud] Vape.,1,Few-shot,Trevor Wallace Gets Quizzed,Shock humor
47,Because there are many tales of drug dealers who have turned innocent people into drug addicts. I might be the first drug addict to turn an innocent man into a drug dealer and that is the promise of their.,1,Few-shot,John Mulaney StandUp Monologue,Self deprecating
48,"In Japan, the first thing that comes up if you Google ""Conan,"" is an anime character named Detective Conan...Clearly, someone's been making a ton of money off the Asian version of me for 24 years.",1,Few-shot,Conan’s Japanese Etiquette Lesson | CONAN on TBS,Observational
49,"I was going to come out dressed like a water bottle, but apparently someone did that.",1,Few-shot,Awkwafina Monologue - SNL,Observational
50,"No, Beck. It's average-sized. Yeah, the balls, too.",1,Few-shot,Why is Benedict Cumberbatch Hot? - SNL,Sketch
51,Loneliness is a problem in modern Japan. I have now been in Japan for two days. Mm hmm. And I am very lonely.,0,Few-shot,Conan Rents A Family In Japan | CONAN on TBS,Observational
52,"They call me Briefcase Joe / I got a body made of pizza dough, you know / I go to Mexico with my vegetable testicles / I got a garden hose",0,Few-shot,Briefcase Joe: Eminem Teaches Jimmy Kimmel to Rap,Self deprecating
53,"I'm not sure who had a weirder 48 hours, me or the CEO of Tylenol.",0,Few-shot,Jimmy Kimmel is Back!,Observational
54,"Not bad, not bad. Niece and nephew, always use protection.",0,Few-shot,"Uncle Roger Sell $10,000 Shoe",Blue comedy
55,"At this point, I don’t think Kanye is off his meds so much as he’s immune to them. We’re basically dealing with the Omicron variant of Kanye.",0,Few-shot,"Weekend Update- Kanye West Praises Hitler, Biden Averts Rail Strike",Sketch
56,"If I walk up to a woman and ask, ""How much?"" I get slapped in my country.",0,Few-shot,Conan Learns Korean And Makes It Weird,Improv
57,"Is she holding her side cause she's wounded or is she trying to look thinner? You know, it looks like she ate a huge Mexican lunch and now [sic] she's like, ""Uh...oh...chimichanga.""",0,Few-shot,"Conan O'Brien Reviews ""Tomb Raider""",Improv
58,"Having baby oil is not illegal. They don't remind you about that part. That's the least harmful thing I've read in that doc. He just used the wrong lube, I think. If he used Crisco, he would've gotten away with it. They would've been like, ""Oh, he just likes to cook.""",0,Few-shot,Dave Chappelle Stand-Up Monologue 2025,Wits
59,"We're getting f—ked when we're dry way too much. It's an epidemic facing this nation. I mean, even my gynecologist uses lube and I do feel insulted when she does; I'm like, ""I can get there, like, tell me how much you make a year.""",0,Few-shot,Nikki Glaser’s Explicit Sex Advice,Blue comedy
60,"Student loan debt. It pretty much affects everyone I know, and if you're one of the ten people it doesn't affect...congratulations on being a Kennedy.",0,Few-shot,Student Loans | Patriot Act with Hasan Minhaj | Netflix,Observational
61,"Doctors in Iowa have confirmed a dog disease that can be passed on to humans. Fine, I'll wear a condom.",0,Few-shot,Weekend Update: Colin Jost and Michael Che Switch Jokes - SNL,Blue comedy
62,"Pope Francis ended a Vatican summit by promising the Catholic Church would confront the clergy sex abuse head-on instead of their usual way, face down, ass up.",0,Few-shot,Weekend Update: Colin Jost and Michael Che Switch Jokes - SNL,Blue comedy
63,This is a disturbing setup. Is this where they do dolphin autopsies?,0,Few-shot,Steven Yeun & Conan Visit A Korean Spa | CONAN on TBS,Improv
64,What do mermaids wash their fins with? Tide.,0,Few-shot,"Celebrity Dad Jokes | You Laugh, You Lose | Will Ferrell vs. Mark Wahlberg | All Def",Deadpan
65,What did the fried rice say to the shrimp? Don't wok away from me!,0,Few-shot,"Celebrity Dad Jokes | You Laugh, You Lose | Will Ferrell vs. Mark Wahlberg | All Def",Deadpan
66,"And now to the skies, where yesterday an asteroid exploded above Ohio producing a shockwave with a force of 250 tons of TNT. Everyone's okay, but it was the biggest explosion in Ohio since your uncle tried the Skyline 3-way.",0,Few-shot,Un Forever | Iran Posed No Imminent Threat | Not The Smartest Person | Florida's Cousin-Couples,Observational
67,"Hello! I'm Stephen Colbert, and I'm legally blind.",0,Few-shot,Deadpool Takes Over Stephen's Monologue,Deadpan
68,An obese monkey in Thailand has been sent to a special facility to lose weight. Officials realized the monkey was overweight when a bunch of black guys kept hitting on it.,0,Few-shot,Weekend Update: Colin Jost and Michael Che Swap Jokes for Season 46 Finale - SNL,Blue comedy
69,A new study suggests that the average man exaggerates the length of their penis by more than 20%. But aren’t you supposed to add 20% for tip?,0,Few-shot,Weekend Update NYC Hires FirstEver Rat Czar Rescuers Save Lost Hikers on Mushrooms,Blue comedy
70,I’m back. And I cut my nails. And you know what that means? Hand stuff. Whoo! Screw those gender roles.,0,Few-shot,Nail Salon - SNL,Sketch
71,"Child molesters are very tenacious people. They love molesting childs, it’s crazy. It’s like their favorite thing! It’s so crazy, because when you consider the risk in being a child molester...there is no worse life available to a human than being a caught child molester. And yet they still do it. Which from you can only really surmise that it must be really good. From their point of view! Not ours! From their point of view, it must be amazing for them to risk so much.’",0,Few-shot,Louis C.K. Monologue - SNL,Shock humor
72,"A hot white woman with ass is like a unicorn. Even if you do see one, you'll probably never get to ride it.",0,Few-shot,"Trevor Noah tweet, 2011",Blue comedy
73,The last time a German looked this hot was when they were pushing Jews into the ovens.,0,Few-shot,"Joan Rivers, 2013 Oscars",Shock humor
74,What is the difference between a Democrat and a Republican? A Democrat blows; a Republican sucks.,0,Few-shot,"Lewis Black tweet, 2014",Blue comedy
75,"Hey, for the ninth consecutive year, Jet Blue Airlines ranked first for satisfaction among all North American airlines. But you know what ranked least in satisfaction? 911 Airlines. What a terrible name for an airline. It reminds me of that tragedy...",0,Few-shot,Cut 9/11 Joke from Norm Macdonald Live,Shock humor
76,I hate when women compare men to dogs. Men are not dogs. Dogs are loyal. I’ve never found any strange panties in my dog’s house.,0,Few-shot,Wanda Sykes - Stop Comparing Men To Dogs,Observational
77,"If infidelity can’t be proven, they’re only entitled to 30%.",0,Few-shot,Weekend Update- Michael Longfellow on Being a Child of Divorce During the Holidays - SNL,Sketch
78,"Okay, so there’s this pretty lady that works at the McDonald’s. Right? So I went down there… [the clock’s shows one hour has passed] Anyway, she didn’t want to keep it so I drove it down to the planned Parent Trap.",0,Few-shot,"Herschel Walker Cold Open - SNL
",Sketch
79,"Oppenheimer is based on a 721-page Pulitzer Prize-winning book about the Manhattan Project, and Barbie is on a plastic doll with big boobies.",0,Few-shot,Jo Koy Golden Globes Monologue,Insult
80,"What do you call a middle-aged, sad, gray-haired woman? A teacher.",0,Few-shot,Stephen and Sarah Silverman Read Bad Kids Jokes,Deadpan
81,"One awkward moment for Sarah Palin at the Yankee game: During the seventh inning, her daughter was knocked up by Alex Rodriguez.",0,Few-shot,Letterman Rips Sarah Palin And Her Daughter,Blue comedy
82,"Spoiler alert, season two is on the way, so in the end, he obviously didn't kill himself. Just like Jeffrey Epstein. [Scattered laughter, groaning] Shut up. I know he's your friend, but I don't care.",0,Few-shot,Ricky Gervais' Monologue - 2020 Golden Globes,Shock humor
83,"Hey, Marcy. You know, this spider man comics got me thinking, you’d be a good superhero. Stuffs-her-bra Woman.",0,Few-shot,Nickelodeon Show - SNL,Sketch
84,"We’re going to be honoring the best in music as voted on by the 13,000 members of the Recording Academy and 20 million illegal immigrants",0,Few-shot,Trevor Noah 2025 Grammy opening,Improv
85,"In the days after New York Mayor Eric Adams announced a new plan to stop violence in the city’s transit system, six people were stabbed on the subway. And I think I speak for all New Yorkers when I say, that sounds pretty low.",0,Few-shot,Weekend Update Russia Invades Ukraine Biden Nominates Ketanji Brown Jackson - SNL,Shock humor
86,"And I’m like, “What about tequila?” And she’s like, “Ah, I don’t really like tequila. I only drink it when my friends make me.” I’m like, “Make you? Who is hazing Hillary Clinton?",0,Few-shot,Amy Schumer Monologue,Shock humor
87,"Hello sir! It's pretty cool we got the same nickname: daddy. So, and then, uh, I went with the newer model. Obviously, you got the classic. Does it ride well? 'Cause this one—this one's got a smooth ride on it. Um, so to not get confused, I'm thinking you call him 'dad,' me 'daddy.' This way, we're not both reaching for the salt, you know?",0,Few-shot,How NOT to talk to girlfriends Dad,Shock humor
88,"Due to a computer error, a school in Massachusetts has been unable to turn off its lights for over a year and a half. The students are doing fine but the classroom hamster has gone insane.",0,Few-shot,"Weekend Update: China’s Population Decline, Andy Murray Denied Bathroom Break - SNL",Improv
89,"Seattle more like dead. So enroll today and in no time your dog will be the next Clint Eastwood. At Enter Stage Woof, Acting School for Dogs.",0,Few-shot,Dog Acting School Commercial - SNL,Sketch
90,You can get a lot of power out of one inch.,0,Few-shot,Steven Ho Hits Conan With Bruce Lee's One Inch Punch,Wits
91,"A penis is worth...$20,900. See, that's humbling. A dick is worth a 2017 Ford Fiesta.",0,Few-shot,The Real Cost of Cruises | Patriot Act with Hasan Minhaj | Netflix,Observational
92,"Who are safer drivers? Men or women? Well, according to a new survey, 55% of adults feel that women are most responsible for minor fender benders, while 78% blame men for most fatal crashes. Please note that the percentages in these pie graphs do not add up to 100% because the math was done by a woman. ",0,Few-shot,Norm MacDonald on Women Drivers,Dark humor
93,The doctor's office finally called with my scan results. They said he needed to meet with me in person.,0,Few-shot,r/TwoSentenceHorror,Anti-humor
94,I just wanted to make sure that the cats would be safe to have around my baby. Why didn't the vet tell me what declawing really means before they operated?,0,Few-shot,r/TwoSentenceHorror,Anti-humor
95,"No one notices the Taylor oil spill because it's a disaster taking place over a long period of time, like Derrick Rose's career.",0,Few-shot,Oil | Patriot Act with Hasan Minhaj | Netflix,Dark humor
96,"Oh come on, India! A dating site “for the large hearted?” Sounds like you're gonna have a stroke on the first date. They're like, “OverweightShaadi.com: find the one who makes half your face droop.”",0,Few-shot,How America Is Causing Global Obesity | Patriot Act with Hasan Minhaj | Netflix,Dark humor
97,"Well, just when we all thought 2020 was the worst 12 months of our lives, 2021 said, ""Hold my year.""",0,Few-shot,A Terrified President Throws His Riot Mob Under A Bus To Save His Neck (And Get Back On Twitter),Deadpan
98,"[impersonating Trump] Pretty good, right? The red is obviously us. The blue, obviously Democrats. Except when it's water, hard to tell. Aquaman, personal friend, great guy.",0,Few-shot,"This Monologue Goes Out To You, Mr. President",Satire
99,"I used to date Hispanic guys, but now I prefer consensual.",0,Few-shot,Amy Schumer ‘taking responsibility’ for controversial joke,Stand-up
100,"Even though Trump famously and disturbingly said of Ivanka, ""If she wasn't my daughter, perhaps I'd be dating her,"" I refused to tell the following joke when Trump brought her to the 2017 G20 Summit: ""I guess it was take your daughter to Climax Day.""",0,Few-shot,2026 Writers Guild Awards - Stephen Colbert accepts the Walter Bernstein Award,Satire